Agent0_x,Agent0_y,Agent0_z,Agent1_x,Agent1_y,Agent1_z
11.199999999999974,25.0,25.0,38.79999999999963,25.0,25.0
11.399999999999974,25.0,25.0,38.599999999999625,25.0,25.0
11.599999999999973,25.0,25.0,38.39999999999962,25.0,25.0
11.799999999999972,25.0,25.0,38.19999999999962,25.0,25.0
11.999999999999972,25.0,25.0,37.999999999999616,25.0,25.0
12.19999999999997,25.0,25.0,37.79999999999961,25.0,25.0
12.39999999999997,25.0,25.0,37.59999999999961,25.0,25.0
12.59999999999997,25.0,25.0,37.39999999999961,25.0,25.0
12.799999999999969,25.0,25.0,37.199999999999605,25.0,25.0
12.999999999999968,25.0,25.0,36.9999999999996,25.0,25.0
13.199999999999967,25.0,25.0,36.7999999999996,25.0,25.0
13.399999999999967,25.0,25.0,36.599999999999596,25.0,25.0
13.599999999999966,25.0,25.0,36.399999999999594,25.0,25.0
13.799999999999965,25.0,25.0,36.19999999999959,25.0,25.0
13.999999999999964,25.0,25.0,35.99999999999959,25.0,25.0
14.199999999999964,25.0,25.0,35.799999999999585,25.0,25.0
14.399999999999963,25.0,25.0,35.59999999999958,25.0,25.0
14.599999999999962,25.0,25.0,35.39999999999958,25.0,25.0
14.799999999999962,25.0,25.0,35.19999999999958,25.0,25.0
14.999999999999961,25.0,25.0,34.999999999999574,25.0,25.0
15.19999999999996,25.0,25.0,34.79999999999957,25.0,25.0
15.39999999999996,25.0,25.0,34.59999999999957,25.0,25.0
15.599999999999959,25.0,25.0,34.399999999999565,25.0,25.0
15.799999999999958,25.0,25.0,34.19999999999956,25.0,25.0
15.999999999999957,25.0,25.0,33.99999999999956,25.0,25.0
16.199999999999957,25.0,25.0,33.79999999999956,25.0,25.0
16.399999999999956,25.0,25.0,33.599999999999554,25.0,25.0
16.599999999999955,25.0,25.0,33.39999999999955,25.0,25.0
16.799999999999955,25.0,25.0,33.19999999999955,25.0,25.0
16.999999999999954,25.0,25.0,32.999999999999545,25.0,25.0
17.199999999999953,25.0,25.0,32.79999999999954,25.0,25.0
17.399999999999952,25.0,25.0,32.59999999999954,25.0,25.0
17.59999999999995,25.0,25.0,32.39999999999954,25.0,25.0
17.79999999999995,25.0,25.0,32.199999999999534,25.0,25.0
17.99999999999995,25.0,25.0,31.999999999999535,25.0,25.0
18.19999999999995,25.0,25.0,31.799999999999535,25.0,25.0
18.39999999999995,25.0,25.0,31.599999999999536,25.0,25.0
18.599999999999948,25.0,25.0,31.399999999999537,25.0,25.0
18.799999999999947,25.0,25.0,31.199999999999537,25.0,25.0
18.98999999999994,25.0,25.0,31.009999999999543,25.0,25.0
19.18999999999994,25.0,25.0,30.809999999999544,25.0,25.0
19.38999999999994,25.0,25.0,30.609999999999545,25.0,25.0
19.58999999999994,25.0,25.0,30.409999999999545,25.0,25.0
19.78999999999994,25.0,25.0,30.209999999999546,25.0,25.0
19.989999999999938,25.0,25.0,30.009999999999547,25.0,25.0
20.189999999999937,25.0,25.0,29.809999999999548,25.0,25.0
20.389999999999937,25.0,25.0,29.60999999999955,25.0,25.0
20.589999999999936,25.0,25.0,29.40999999999955,25.0,25.0
20.789999999999935,25.0,25.0,29.20999999999955,25.0,25.0
20.989999999999934,25.0,25.0,29.00999999999955,25.0,25.0
21.189999999999934,25.0,25.0,28.80999999999955,25.0,25.0
21.389999999999933,25.0,25.0,28.609999999999552,25.0,25.0
21.589999999999932,25.0,25.0,28.409999999999553,25.0,25.0
21.78999999999993,25.0,25.0,28.209999999999553,25.0,25.0
21.98999999999993,25.0,25.0,28.009999999999554,25.0,25.0
22.18999999999993,25.0,25.0,27.809999999999555,25.0,25.0
22.38999999999993,25.0,25.0,27.609999999999555,25.0,25.0
22.58999999999993,25.0,25.0,27.409999999999556,25.0,25.0
22.789999999999928,25.0,25.0,27.209999999999557,25.0,25.0
22.989999999999927,25.0,25.0,27.009999999999557,25.0,25.0
23.189999999999927,25.0,25.0,26.809999999999558,25.0,25.0
23.389999999999926,25.0,25.0,26.60999999999956,25.0,25.0
23.589999999999925,25.0,25.0,26.40999999999956,25.0,25.0
23.789999999999925,25.0,25.0,26.20999999999956,25.0,25.0
23.989999999999924,25.0,25.0,26.00999999999956,25.0,25.0
24.189999999999923,25.0,25.0,25.80999999999956,25.0,25.0
24.389999999999922,25.0,25.0,25.609999999999562,25.0,25.0
24.58999999999992,25.0,25.0,25.409999999999563,25.0,25.0
24.78999999999992,25.0,25.0,25.209999999999564,25.0,25.0
24.98999999999992,25.0,25.0,25.009999999999565,25.0,25.0
25.18999999999992,25.0,25.0,24.809999999999565,25.0,25.0
25.38999999999992,25.0,25.0,24.609999999999566,25.0,25.0
25.589999999999918,25.0,25.0,24.409999999999567,25.0,25.0
25.789999999999917,25.0,25.0,24.209999999999567,25.0,25.0
25.989999999999917,25.0,25.0,24.009999999999568,25.0,25.0
26.189999999999916,25.0,25.0,23.80999999999957,25.0,25.0
26.389999999999915,25.0,25.0,23.60999999999957,25.0,25.0
26.589999999999915,25.0,25.0,23.40999999999957,25.0,25.0
26.789999999999914,25.0,25.0,23.20999999999957,25.0,25.0
26.989999999999913,25.0,25.0,23.00999999999957,25.0,25.0
27.189999999999912,25.0,25.0,22.809999999999572,25.0,25.0
27.38999999999991,25.0,25.0,22.609999999999573,25.0,25.0
27.58999999999991,25.0,25.0,22.409999999999574,25.0,25.0
27.78999999999991,25.0,25.0,22.209999999999575,25.0,25.0
27.98999999999991,25.0,25.0,22.009999999999575,25.0,25.0
28.18999999999991,25.0,25.0,21.809999999999576,25.0,25.0
28.389999999999908,25.0,25.0,21.609999999999577,25.0,25.0
28.589999999999907,25.0,25.0,21.409999999999577,25.0,25.0
28.789999999999907,25.0,25.0,21.209999999999578,25.0,25.0
28.989999999999906,25.0,25.0,21.00999999999958,25.0,25.0
29.189999999999905,25.0,25.0,20.80999999999958,25.0,25.0
29.389999999999905,25.0,25.0,20.60999999999958,25.0,25.0
29.589999999999904,25.0,25.0,20.40999999999958,25.0,25.0
29.789999999999903,25.0,25.0,20.20999999999958,25.0,25.0
29.989999999999903,25.0,25.0,20.009999999999582,25.0,25.0
30.189999999999902,25.0,25.0,19.809999999999583,25.0,25.0
30.3899999999999,25.0,25.0,19.609999999999584,25.0,25.0
30.5899999999999,25.0,25.0,19.409999999999584,25.0,25.0
30.7899999999999,25.0,25.0,19.209999999999585,25.0,25.0
30.9899999999999,25.0,25.0,19.009999999999586,25.0,25.0
31.1899999999999,25.0,25.0,18.809999999999587,25.0,25.0
31.389999999999898,25.0,25.0,18.609999999999587,25.0,25.0
31.589999999999897,25.0,25.0,18.409999999999588,25.0,25.0
31.789999999999896,25.0,25.0,18.20999999999959,25.0,25.0
31.989999999999895,25.0,25.0,18.00999999999959,25.0,25.0
32.1899999999999,25.0,25.0,17.80999999999959,25.0,25.0
32.3899999999999,25.0,25.0,17.60999999999959,25.0,25.0
32.589999999999904,25.0,25.0,17.40999999999959,25.0,25.0
32.78999999999991,25.0,25.0,17.209999999999592,25.0,25.0
32.98999999999991,25.0,25.0,17.009999999999593,25.0,25.0
33.18999999999991,25.0,25.0,16.809999999999594,25.0,25.0
33.389999999999915,25.0,25.0,16.609999999999594,25.0,25.0
33.58999999999992,25.0,25.0,16.409999999999595,25.0,25.0
33.78999999999992,25.0,25.0,16.209999999999596,25.0,25.0
33.989999999999924,25.0,25.0,16.009999999999597,25.0,25.0
34.18999999999993,25.0,25.0,15.809999999999597,25.0,25.0
34.38999999999993,25.0,25.0,15.609999999999598,25.0,25.0
34.58999999999993,25.0,25.0,15.409999999999599,25.0,25.0
34.789999999999935,25.0,25.0,15.2099999999996,25.0,25.0
34.98999999999994,25.0,25.0,15.0099999999996,25.0,25.0
35.18999999999994,25.0,25.0,14.8099999999996,25.0,25.0
35.389999999999944,25.0,25.0,14.609999999999602,25.0,25.0
35.58999999999995,25.0,25.0,14.409999999999602,25.0,25.0
35.78999999999995,25.0,25.0,14.209999999999603,25.0,25.0
35.98999999999995,25.0,25.0,14.009999999999604,25.0,25.0
36.189999999999955,25.0,25.0,13.809999999999604,25.0,25.0
36.38999999999996,25.0,25.0,13.609999999999605,25.0,25.0
36.58999999999996,25.0,25.0,13.409999999999606,25.0,25.0
36.789999999999964,25.0,25.0,13.209999999999607,25.0,25.0
36.98999999999997,25.0,25.0,13.009999999999607,25.0,25.0
37.18999999999997,25.0,25.0,12.809999999999608,25.0,25.0
37.38999999999997,25.0,25.0,12.609999999999609,25.0,25.0
37.589999999999975,25.0,25.0,12.40999999999961,25.0,25.0
37.78999999999998,25.0,25.0,12.20999999999961,25.0,25.0
37.98999999999998,25.0,25.0,12.00999999999961,25.0,25.0
38.18999999999998,25.0,25.0,11.809999999999611,25.0,25.0
38.389999999999986,25.0,25.0,11.609999999999612,25.0,25.0
38.58999999999999,25.0,25.0,11.409999999999613,25.0,25.0
38.78999999999999,25.0,25.0,11.209999999999614,25.0,25.0
38.989999999999995,25.0,25.0,11.009999999999614,25.0,25.0
39.19,25.0,25.0,10.809999999999615,25.0,25.0
39.39,25.0,25.0,10.609999999999616,25.0,25.0
39.59,25.0,25.0,10.409999999999616,25.0,25.0
39.790000000000006,25.0,25.0,10.209999999999617,25.0,25.0
39.99000000000001,25.0,25.0,10.009999999999618,25.0,25.0
40.19000000000001,25.0,25.0,9.809999999999619,25.0,25.0
40.390000000000015,25.0,25.0,9.60999999999962,25.0,25.0
40.59000000000002,25.0,25.0,9.40999999999962,25.0,25.0
40.79000000000002,25.0,25.0,9.20999999999962,25.0,25.0
40.99000000000002,25.0,25.0,9.009999999999621,25.0,25.0
41.190000000000026,25.0,25.0,8.809999999999622,25.0,25.0
41.39000000000003,25.0,25.0,8.609999999999623,25.0,25.0
41.59000000000003,25.0,25.0,8.409999999999624,25.0,25.0
41.790000000000035,25.0,25.0,8.209999999999624,25.0,25.0
41.99000000000004,25.0,25.0,8.009999999999625,25.0,25.0
42.19000000000004,25.0,25.0,7.809999999999625,25.0,25.0
42.39000000000004,25.0,25.0,7.609999999999625,25.0,25.0
42.590000000000046,25.0,25.0,7.409999999999624,25.0,25.0
42.79000000000005,25.0,25.0,7.209999999999624,25.0,25.0
42.99000000000005,25.0,25.0,7.009999999999624,25.0,25.0
43.190000000000055,25.0,25.0,6.809999999999624,25.0,25.0
43.39000000000006,25.0,25.0,6.609999999999624,25.0,25.0
43.59000000000006,25.0,25.0,6.4099999999996236,25.0,25.0
43.79000000000006,25.0,25.0,6.209999999999623,25.0,25.0
43.990000000000066,25.0,25.0,6.009999999999623,25.0,25.0
44.19000000000007,25.0,25.0,5.809999999999623,25.0,25.0
44.39000000000007,25.0,25.0,5.609999999999623,25.0,25.0
44.590000000000074,25.0,25.0,5.409999999999623,25.0,25.0
44.79000000000008,25.0,25.0,5.2099999999996225,25.0,25.0
44.99000000000008,25.0,25.0,5.009999999999622,25.0,25.0
45.19000000000008,25.0,25.0,4.809999999999622,25.0,25.0
45.390000000000086,25.0,25.0,4.609999999999622,25.0,25.0
45.59000000000009,25.0,25.0,4.409999999999622,25.0,25.0
45.79000000000009,25.0,25.0,4.209999999999622,25.0,25.0
45.990000000000094,25.0,25.0,4.009999999999621,25.0,25.0
46.1900000000001,25.0,25.0,3.8099999999996212,25.0,25.0
46.3900000000001,25.0,25.0,3.609999999999621,25.0,25.0
46.5900000000001,25.0,25.0,3.409999999999621,25.0,25.0
46.790000000000106,25.0,25.0,3.2099999999996207,25.0,25.0
46.99000000000011,25.0,25.0,3.0099999999996205,25.0,25.0
47.19000000000011,25.0,25.0,2.8099999999996204,25.0,25.0
47.390000000000114,25.0,25.0,2.60999999999962,25.0,25.0
47.59000000000012,25.0,25.0,2.40999999999962,25.0,25.0
47.79000000000012,25.0,25.0,2.20999999999962,25.0,25.0
47.99000000000012,25.0,25.0,2.0099999999996196,25.0,25.0
48.190000000000126,25.0,25.0,1.8099999999996197,25.0,25.0
48.39000000000013,25.0,25.0,1.6099999999996197,25.0,25.0
48.59000000000013,25.0,25.0,1.4099999999996198,25.0,25.0
48.790000000000134,25.0,25.0,1.2099999999996198,25.0,25.0
48.99000000000014,25.0,25.0,1.0099999999996199,25.0,25.0
49.19000000000014,25.0,25.0,0.8099999999996199,25.0,25.0
49.39000000000014,25.0,25.0,0.60999999999962,25.0,25.0
49.590000000000146,25.0,25.0,0.40999999999961995,25.0,25.0
